GeoName,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,Millions of chained 2012 dollars,149568.2,154900.2,157221.3,156853.2,160422.4,165134.7,176625,184369.5,187270.8,189002.5,186946.7,180707.2,184702.4,187605.8,189245.5,191369.8,189886.3,191335.2,194283.8,196974.9,200372.6,203432.7,199880.8,209979.3,213264.8
Alaska,Millions of chained 2012 dollars,41095.9,40590.5,39406.6,40958.7,42979,42355.3,44055,45657.1,49190.2,51721,51252.1,56215.1,54601.5,55280.3,58283.6,55354.3,54188.2,54740.8,54246.6,54278.7,53327,53433.8,50705.2,50869.4,49633.7
Arizona,Millions of chained 2012 dollars,183060.5,198699.9,208439.5,213166.2,220696.7,234065.9,244317.3,262326,274179.4,283250.7,280810.1,257498.5,260307.1,266101.5,271440,273481.9,276948.9,282577,291275.2,303606.1,314827.5,325395.3,327178,347656,356417
Arkansas,Millions of chained 2012 dollars,84570.8,89115.2,89871.7,89789,92950.5,96944.5,101733.6,105980,108460.6,107606.1,106536.5,102996.6,105662,107932.5,108492.1,110752.4,111734.5,112351,112798.1,113850.2,115885.2,117126.2,117268.2,123347.3,126532.2
California,Millions of chained 2012 dollars,1468731,1574306,1696172,1692324,1722522,1789999,1850905,1926842,2002437,2041192,2061639,1995440,2036015,2063828,2113096,2179229,2256055,2357453,2427895,2538204,2644061,2729226,2667221,2874731,2885627
Colorado,Millions of chained 2012 dollars,200679.7,215294.6,231589.8,234979.4,235417.3,237782.3,240747.6,251558.4,257430.2,266887.5,270981.4,264966.3,267858.9,271700.6,276823.1,286259.1,298655.3,312409.7,318953.4,329913.3,342733.2,358438.5,353345.2,373763.3,385834.8
Connecticut,Millions of chained 2012 dollars,196391.1,202351.7,216157.6,218135.3,216677.7,219186,233426.5,238549.5,248233.8,257953,257756,244894.7,244354.7,238542.4,240911.9,236050.6,235780.9,242706.5,243286.7,247035.9,249074.8,251568.2,235234.9,246555.9,252533.3
Delaware,Millions of chained 2012 dollars,50434.3,54236.7,56550.2,58372.7,56534.5,57300,60069.9,59335.1,60624.3,60477.9,58655.7,61517.7,60577.2,62919.3,62354.6,60235.8,64940.1,66793.5,63001.3,60357.5,61425.1,64143.5,62281.8,64404.7,65754.8
District of Columbia,Millions of chained 2012 dollars,81214.4,84756.2,85355.9,88440.7,91141.5,92921,97463.5,99480.7,99805.5,102738.7,106768.9,105893.9,109986.5,111646.5,112157,112332.4,114553.6,116808.4,119644.3,120759.4,123680.5,124597.2,122485.3,126983,129268.2
Florida,Millions of chained 2012 dollars,587970.7,615238.2,642708.2,660659.5,689974,722374.5,769140.5,815755.8,839963.8,850048.6,816070.2,769061.1,775039.5,772021.3,778545,794842.1,817233.5,852242.4,881539.2,912687.4,941626.7,965672.5,950164.4,1029576,1070930
Georgia,Millions of chained 2012 dollars,352472.3,377127.4,389727.3,394317.3,399413.4,411685.6,428555.2,447152.9,453032.1,455904,445764.6,428740.7,433727.2,441626.7,447764.7,454908.9,470009.7,489182.3,506816.2,523805.3,538604.6,557364.4,537615.8,575292.2,591257.3
Hawaii,Millions of chained 2012 dollars,54404.8,54852.1,55891.1,55678.5,56990.8,59978.8,63318.1,67123.9,68759.3,70080.4,70460.8,67927.5,69628.1,70646.6,71905.3,73063.2,73512.4,75869.5,77303.9,78947.4,79845.3,79213.4,70109.4,74547.2,75418.3
Idaho,Millions of chained 2012 dollars,38795.3,42510.4,47295.4,46084.5,47056.8,48593.7,51815.1,56043,57613.7,58670.9,60309.5,57327.9,58281.8,58226.2,58323.9,60631.2,62454,63081.2,65479,66941,70857.3,74162.6,75145.5,80093.8,84002.9
Illinois,Millions of chained 2012 dollars,595615.8,618148.4,640723.4,642292.5,647517.8,658317.3,676805.9,687706.6,704827.6,712619.8,706616.5,688161,698179.6,711283.4,726399.1,726125,741194,751754.9,749333.5,753027,771695.5,775998.1,734385,780060.8,797969.1
